Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
A0A075B6H2,Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT),IGLV6-57,26,8.6,387.51,117,0.0,132.67,654900000,1438;1745;3161;3662;3965;4557;4762;5324;5449;5573;6164;7904;8183;8710;9052;9476;11182;11657;12599;13058;13283;13752;14545;14557;14821;16852,6903;7648;14605;16723;16724;18291;21448;21449;22123;24892;24893;25518;25902;28980;28981;36742;36743;37803;39317;39318;40884;42613;42614;50628;52588;56478;56479;58786;58787;60136;62279;65912;65937;68291;68292;76922,9494
A0A075B6I2,Protein tyrosine phosphatase receptor type C,PTPRC,5,44.6,16.037,753,0.0,134.51,5624600000,5087;11346;13402;13403;14690,23585;23586;23587;23588;23589;51196;51197;60664;60665;60666;60667;66933;66934;66935,32671
A0A075B788,ADAM metallopeptidase domain 9,ADAM9,9,13.3,85.022,128,0.0,48.207,493520000,228;1497;2056;2621;3731;5036;13804;14225;16484,902;7064;8575;11221;16960;23346;23347;62574;62575;62576;62577;64045;64046;75287;75288;75289,1246
C9J6H5,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,3,25.8,14.651,106,0.0,7.952,95148000,2592;3673;12119,11153;16762;16763;16764;54717,14962
A0M8Q6,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D),SSC5D,4,82.1,11.303,1573,0.0,16.045,1115000000,75;1184;12010;14609;15224;15891;16420,344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;5926;5927;5928;54249;54250;54251;54252;54253;54254;54255;54256;54257;54258;54259;54260;54261;54262;54263;54264;66668;69664;72315;72316;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;74934;74935;74936;74937;74938;74939;74940;74941;74942;74943;74944;74945;74946;74947;74948;74949;74950;74951;74952;74953;74954;74955;74956;74957;74958;74959;74960;74961;74962;74963;74964;74965;74966;74967;74968;74969;74970;74971;74972;74973;74974;74975;74976;74977;74978;74979;74980;74981;74982;74983;74984;74985;74986;74987;74988;74989;74990;74991;74992;74993;74994;74995;74996;74997;74998;74999;75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;75026,494
A1L4H1,"Major histocompatibility complex, class II, DQ beta 1",HLA-DQB1,19,20.9,165.74,224,0.0,185.49,1406400000,533;2034;3858;3859;3860;4741;5994;6121;6321;8584;8910;8911;8912;11453;11816;13217;16260;16263;16264,2513;8507;8508;17847;17848;17849;17850;17851;17852;17853;17854;22048;28332;28786;28787;29779;38917;38918;38919;40138;40139;40140;40141;40142;40143;51657;51658;51659;51660;53513;59994;59995;74092;74093;74096;74097;74098,3570
A2AAZ0,Proteasome subunit beta,PSMB9 hCG_17510,3,13.4,25.961,196,0.0023838,1.8557,42540000,6917;12475;16703,32472;55973;76369,44488
A2ACR1,Fucose mutarotase (EC 5.1.3.29),FUOM C10orf125,3,20.4,20.96,154,0.0,3.5175,47211000,2310;15305;15739,9412;69853;71620,12600
A2VDF0-2,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),BST1,2,23.1,14.604,333,0.0,8.7004,12749000,176;6546,770;30805;30806;30807,1084
A6NC48,Nudix hydrolase 5,NUDT5,12,42.3,37.482,180,0.0,267.54,7384600000,772;1068;2662;4957;5559;5630;5631;7267;13099;13100;14791;14822,3272;3273;3274;5214;11829;11830;11831;11832;11833;11834;11835;22819;22820;22821;22822;22823;22824;22825;25868;25869;25870;26119;26120;26121;26122;26123;26124;26125;26126;26127;34548;34549;34550;34551;34552;34553;34554;34555;34556;34557;59566;59567;59568;68168;68169;68170;68293,4561
